id	Code	Use
356	Luxury-OH0000	0
357	Luxury-YV0001	0
358	Luxury-TB0002	0
359	Luxury-GD0003	0
360	Luxury-YA0004	0
361	Luxury-WS0005	0
362	Luxury-SJ0006	0
363	Luxury-AR0007	0
364	Luxury-JE0008	0
365	Luxury-PG0009	0
366	Luxury-XS0010	0
367	Luxury-YZ0011	0
368	Luxury-PO0012	0
369	Luxury-BT0013	0
370	Luxury-CH0014	0
371	Luxury-ES0015	0
372	Luxury-MX0016	0
373	Luxury-GJ0017	0
374	Luxury-FG0018	0
375	Luxury-JU0019	0
376	Luxury-PQ0020	0
377	Luxury-OC0021	0
378	Luxury-BI0022	0
379	Luxury-CX0023	0
380	Luxury-KB0024	0
381	Luxury-NW0025	0
382	Luxury-GU0026	0
383	Luxury-WE0027	0
384	Luxury-CZ0028	0
385	Luxury-MK0029	0
386	Luxury-UK0030	0
387	Luxury-TD0031	0
388	Luxury-FJ0032	0
389	Luxury-VU0033	0
390	Luxury-GQ0034	0
391	Luxury-ZH0035	0
392	Luxury-QE0036	0
393	Luxury-UI0037	0
394	Luxury-KC0038	0
395	Luxury-OS0039	0
396	Luxury-FS0040	0
397	Luxury-YA0041	0
398	Luxury-PH0042	0
399	Luxury-HR0043	0
400	Luxury-RX0044	0
401	Luxury-CP0045	0
402	Luxury-HP0046	0
403	Luxury-XR0047	0
404	Luxury-EB0048	0
405	Luxury-NT0049	0
406	Luxury-QS0050	0
407	Luxury-QH0051	0
408	Luxury-UN0052	0
409	Luxury-HS0053	0
410	Luxury-CC0054	0
411	Luxury-WE0055	0
412	Luxury-AM0056	0
413	Luxury-XC0057	0
414	Luxury-LE0058	0
415	Luxury-NY0059	0
416	Luxury-XN0060	0
417	Luxury-DM0061	0
418	Luxury-ZQ0062	0
419	Luxury-QK0063	0
420	Luxury-MZ0064	0
421	Luxury-TO0065	0
422	Luxury-JP0066	0
423	Luxury-PZ0067	0
424	Luxury-AM0068	0
425	Luxury-SC0069	0
426	Luxury-KX0070	0
427	Luxury-AD0071	0
428	Luxury-MH0072	0
429	Luxury-GY0073	0
430	Luxury-QM0074	0
431	Luxury-PL0075	0
432	Luxury-QV0076	0
433	Luxury-YC0077	0
434	Luxury-VD0078	0
435	Luxury-GH0079	0
436	Luxury-WO0080	0
437	Luxury-DC0081	0
438	Luxury-PA0082	0
439	Luxury-ET0083	0
440	Luxury-NI0084	0
441	Luxury-XX0085	0
442	Luxury-IM0086	0
443	Luxury-AO0087	0
444	Luxury-WO0088	0
445	Luxury-MB0089	0
446	Luxury-TF0090	0
447	Luxury-KI0091	0
448	Luxury-VM0092	0
449	Luxury-JH0093	0
450	Luxury-ML0094	0
451	Luxury-KE0095	0
452	Luxury-RO0096	0
453	Luxury-QV0097	0
454	Luxury-FM0098	0
455	Luxury-RT0099	0
456	Luxury-RY0100	0
457	Luxury-AU0101	0
458	Luxury-HK0102	0
459	Luxury-LV0103	0
460	Luxury-SY0104	0
461	Luxury-SM0105	0
462	Luxury-SE0106	0
463	Luxury-NI0107	0
464	Luxury-JC0108	0
465	Luxury-BN0109	0
466	Luxury-CH0110	0
467	Luxury-QH0111	0
468	Luxury-MK0112	0
469	Luxury-AE0113	0
470	Luxury-FI0114	0
471	Luxury-ZY0115	0
472	Luxury-OS0116	0
473	Luxury-FS0117	0
474	Luxury-SQ0118	0
475	Luxury-ZN0119	0
